,theme,accuracy,auc,val_accuracy,val_auc
79,environment,0.9927547574043274,0.8071203231811523,0.9917638897895813,0.6894463300704956
80,spirituality,0.9752898216247559,0.7290626764297485,0.9766643643379211,0.6849551200866699
81,easter,0.9991610646247864,0.6224438548088074,0.9993136525154114,0.5
82,deception,0.9980170726776123,0.62091463804245,0.9965682625770569,0.5
83,hispanic heritage month,0.991686999797821,0.5824358463287354,0.990391194820404,0.5
84,mother's day,0.997101902961731,0.5396716594696045,0.9951956272125244,0.7470443248748779
85,spring,0.9880262613296509,0.869270920753479,0.9862731695175171,0.8049144744873047
86,past,0.9946613907814026,0.723979651927948,0.995881974697113,0.4962095022201538
87,crime & punishment,0.981086015701294,0.8750643730163574,0.9780370593070984,0.5886403322219849
88,self,0.9887126088142395,0.7765811681747437,0.9917638897895813,0.6405420899391174
89,time,0.9959579110145569,0.4845302999019623,0.995881974697113,0.6137146949768066
90,father's day,0.997101902961731,0.6826013326644897,0.9965682625770569,0.49380165338516235
91,veterans day,0.9985509514808655,0.5023556351661682,0.9993136525154114,0.9890109300613403
92,spanish,0.9977883100509644,0.817741870880127,0.9993136525154114,1.0
93,architecture & design,0.9929835200309753,0.819707989692688,0.9951956272125244,0.6883743405342102
94,silence,0.9975594878196716,0.7274810671806335,0.9993136525154114,0.4996565878391266
95,future,0.9943563342094421,0.529097318649292,0.9931365847587585,0.5206980109214783
96,immigration,0.9952715039253235,0.6300264000892639,0.9951956272125244,0.7644335031509399
97,farewell,0.9966443181037903,0.6027395725250244,0.9951956272125244,0.48482760787010193
98,survival,0.9958053827285767,0.6976494789123535,0.9979409575462341,0.4917469024658203
99,vacations,0.9992373585700989,0.7330560684204102,0.9993136525154114,0.5
100,black history month,0.9869585037231445,0.5711836218833923,0.9800961017608643,0.6627427339553833
101,infidelity,0.9997711777687073,0.5699392557144165,1.0,0.0
102,body,0.9129804968833923,0.8604615926742554,0.8901852965354919,0.70975261926651
